inventor,inventorLabel,genderLabel,birth
http://www.wikidata.org/entity/Q124132,Ami Argand,masculin,1750-07-05T00:00:00Z
http://www.wikidata.org/entity/Q124180,Anton Kutter,masculin,1903-06-13T00:00:00Z
http://www.wikidata.org/entity/Q124361,John Froelich,masculin,1849-11-24T00:00:00Z
http://www.wikidata.org/entity/Q124741,Alfred Büchi,masculin,1879-07-11T00:00:00Z
http://www.wikidata.org/entity/Q124806,Heinrich August Wilhelm Stolze,masculin,1798-05-20T00:00:00Z
http://www.wikidata.org/entity/Q124963,Jean Maritz,masculin,1680-04-11T00:00:00Z
http://www.wikidata.org/entity/Q125204,Graeme Clark,masculin,1935-08-16T00:00:00Z
http://www.wikidata.org/entity/Q125288,Käthe Paulus,féminin,1868-12-22T00:00:00Z
http://www.wikidata.org/entity/Q126205,Q126205,masculin,1971-04-08T00:00:00Z
http://www.wikidata.org/entity/Q126354,Friedrich Lutzmann,masculin,1859-04-05T00:00:00Z
http://www.wikidata.org/entity/Q128823,John Ambrose Fleming,masculin,1849-11-29T00:00:00Z
http://www.wikidata.org/entity/Q129819,Jules Richard,masculin,1848-12-19T00:00:00Z
http://www.wikidata.org/entity/Q131761,Humphry Davy,masculin,1778-12-17T00:00:00Z
http://www.wikidata.org/entity/Q133232,Gabriel Lippmann,masculin,1845-08-16T00:00:00Z
http://www.wikidata.org/entity/Q133267,Lev Landau,masculin,1908-01-22T00:00:00Z
http://www.wikidata.org/entity/Q133544,John Logie Baird,masculin,1888-08-13T00:00:00Z
http://www.wikidata.org/entity/Q133590,John Adolphus Etzler,masculin,1791-01-01T00:00:00Z
http://www.wikidata.org/entity/Q133614,George Stephenson,masculin,1781-06-09T00:00:00Z
http://www.wikidata.org/entity/Q134864,Moondog,masculin,1916-05-26T00:00:00Z
http://www.wikidata.org/entity/Q137727,Sakichi Toyoda,masculin,1867-03-19T00:00:00Z
http://www.wikidata.org/entity/Q137739,George Antheil,masculin,1900-07-08T00:00:00Z
http://www.wikidata.org/entity/Q138903,Newby O. Brantly,masculin,1905-04-13T00:00:00Z
http://www.wikidata.org/entity/Q139451,LaMarcus Adna Thompson,masculin,1848-03-08T00:00:00Z
http://www.wikidata.org/entity/Q140683,John Kay,masculin,1704-07-16T00:00:00Z
http://www.wikidata.org/entity/Q140692,Samuel Crompton,masculin,1753-12-03T00:00:00Z
http://www.wikidata.org/entity/Q140696,James Hargreaves,masculin,1720-12-13T00:00:00Z
http://www.wikidata.org/entity/Q149997,Zeppo Marx,masculin,1901-02-25T00:00:00Z
http://www.wikidata.org/entity/Q150910,Charles Algernon Parsons,masculin,1854-06-13T00:00:00Z
http://www.wikidata.org/entity/Q151799,Edward Cave,masculin,1691-02-27T00:00:00Z
http://www.wikidata.org/entity/Q153238,Leó Szilárd,masculin,1898-02-11T00:00:00Z
http://www.wikidata.org/entity/Q154325,Heinrich Lenz,masculin,1804-02-24T00:00:00Z
http://www.wikidata.org/entity/Q155759,Igor Tamm,masculin,1895-07-08T00:00:00Z
http://www.wikidata.org/entity/Q155786,Dennis Gabor,masculin,1900-06-05T00:00:00Z
http://www.wikidata.org/entity/Q156343,Levi Strauss,masculin,1829-02-26T00:00:00Z
http://www.wikidata.org/entity/Q86137,Johann Rosenzopf,masculin,1939-04-22T00:00:00Z
http://www.wikidata.org/entity/Q86275,Anton Schrötter von Kristelli,masculin,1802-11-26T00:00:00Z
http://www.wikidata.org/entity/Q86332,Guido Seeber,masculin,1879-06-22T00:00:00Z
http://www.wikidata.org/entity/Q86573,August von Parseval,masculin,1861-02-05T00:00:00Z
http://www.wikidata.org/entity/Q86658,Friedrich von Knauss,masculin,1724-04-07T00:00:00Z
http://www.wikidata.org/entity/Q86672,Karl Kordesch,masculin,1922-03-18T00:00:00Z
http://www.wikidata.org/entity/Q87339,Josef Madersperger,masculin,1768-10-06T00:00:00Z
http://www.wikidata.org/entity/Q87406,Julius Kröhl,masculin,1820-01-01T00:00:00Z
http://www.wikidata.org/entity/Q87475,Eduard Rhein,masculin,1900-08-23T00:00:00Z
http://www.wikidata.org/entity/Q87620,Luca Pacioli,masculin,1440-01-01T00:00:00Z
http://www.wikidata.org/entity/Q87759,Johann Rihosek,masculin,1869-06-05T00:00:00Z
http://www.wikidata.org/entity/Q87770,Carl Baunscheidt,masculin,1809-12-16T00:00:00Z
http://www.wikidata.org/entity/Q87885,Adolph Zsigmondy,masculin,1816-04-24T00:00:00Z
http://www.wikidata.org/entity/Q88145,Julius Arthur Nieuwland,masculin,1878-02-14T00:00:00Z
http://www.wikidata.org/entity/Q88253,Johann Zacherl,masculin,1814-11-24T00:00:00Z
http://www.wikidata.org/entity/Q88641,Martin Leo Arons,masculin,1860-02-15T00:00:00Z
http://www.wikidata.org/entity/Q88763,Karl Stetter,masculin,1941-07-16T00:00:00Z
http://www.wikidata.org/entity/Q88794,Simon Plößl,masculin,1794-09-19T00:00:00Z
http://www.wikidata.org/entity/Q88850,Franz Kolb,masculin,1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q88928,Franz von Ržiha,masculin,1831-03-28T00:00:00Z
http://www.wikidata.org/entity/Q88976,Friedrich Wilhelm Schindler,masculin,1856-06-01T00:00:00Z
http://www.wikidata.org/entity/Q89321,Fritz Gosslau,masculin,1898-03-25T00:00:00Z
http://www.wikidata.org/entity/Q89390,Carl Auer von Welsbach,masculin,1858-09-01T00:00:00Z
http://www.wikidata.org/entity/Q89544,Viktor Schauberger,masculin,1885-06-30T00:00:00Z
http://www.wikidata.org/entity/Q89857,Franz Rautek,masculin,1902-04-10T00:00:00Z
http://www.wikidata.org/entity/Q89927,Georg Lankensperger,masculin,1779-03-31T00:00:00Z
http://www.wikidata.org/entity/Q90036,Adolph Giesl-Gieslingen,masculin,1903-09-07T00:00:00Z
http://www.wikidata.org/entity/Q90607,Paul Kollsman,masculin,1900-02-22T00:00:00Z
http://www.wikidata.org/entity/Q90732,Ernst Litfaß,masculin,1816-02-11T00:00:00Z
http://www.wikidata.org/entity/Q91456,Carl Gassner,masculin,1855-11-17T00:00:00Z
http://www.wikidata.org/entity/Q91663,Ernst Hellinger,masculin,1883-09-30T00:00:00Z
http://www.wikidata.org/entity/Q91786,Julius Brauns,masculin,1857-01-01T00:00:00Z
http://www.wikidata.org/entity/Q92205,Andreas Mechwart von Belecska,masculin,1834-12-06T00:00:00Z
http://www.wikidata.org/entity/Q92604,Niklaus Wirth,masculin,1934-02-15T00:00:00Z
http://www.wikidata.org/entity/Q92614,Douglas Engelbart,masculin,1925-01-30T00:00:00Z
http://www.wikidata.org/entity/Q92617,Paul Baran,masculin,1926-04-29T00:00:00Z
http://www.wikidata.org/entity/Q92622,James Gosling,masculin,1955-05-19T00:00:00Z
http://www.wikidata.org/entity/Q92624,Dan Bricklin,masculin,1951-07-16T00:00:00Z
http://www.wikidata.org/entity/Q92631,Ray Tomlinson,masculin,1941-04-23T00:00:00Z
http://www.wikidata.org/entity/Q92693,Richard Crandall,masculin,1947-12-29T00:00:00Z
http://www.wikidata.org/entity/Q92760,Claude Shannon,masculin,1916-04-30T00:00:00Z
http://www.wikidata.org/entity/Q92764,Sergey Brin,masculin,1973-08-21T00:00:00Z
http://www.wikidata.org/entity/Q92766,Robert Metcalfe,masculin,1946-04-07T00:00:00Z
http://www.wikidata.org/entity/Q92783,Fred Cohen,masculin,1956-01-01T00:00:00Z
http://www.wikidata.org/entity/Q92788,Bill Atkinson,masculin,1951-03-17T00:00:00Z
http://www.wikidata.org/entity/Q92823,Edward Feigenbaum,masculin,1936-01-20T00:00:00Z
http://www.wikidata.org/entity/Q92828,Charles P. Thacker,masculin,1943-02-26T00:00:00Z
http://www.wikidata.org/entity/Q92857,Ivar Jacobson,masculin,1939-09-02T00:00:00Z
http://www.wikidata.org/entity/Q92879,Tony Fadell,masculin,1969-03-22T00:00:00Z
http://www.wikidata.org/entity/Q92884,Ralph Merkle,masculin,1952-02-02T00:00:00Z
http://www.wikidata.org/entity/Q92926,An Wang,masculin,1920-02-07T00:00:00Z
http://www.wikidata.org/entity/Q92934,Mark P. McCahill,masculin,1956-02-07T00:00:00Z
http://www.wikidata.org/entity/Q92942,W. Daniel Hillis,masculin,1956-09-25T00:00:00Z
http://www.wikidata.org/entity/Q92950,Marcel J. E. Golay,masculin,1902-05-03T00:00:00Z
http://www.wikidata.org/entity/Q92975,Chu Bong-Foo,masculin,1937-01-01T00:00:00Z
http://www.wikidata.org/entity/Q92985,Robin Li,masculin,1968-11-17T00:00:00Z
http://www.wikidata.org/entity/Q92987,Wang Xuan,masculin,1936-02-05T00:00:00Z
http://www.wikidata.org/entity/Q92997,Kasper Skårhøj,masculin,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q92999,Charles H. Moore,masculin,1938-09-09T00:00:00Z
http://www.wikidata.org/entity/Q93030,Leon Chua,masculin,1936-06-28T00:00:00Z
http://www.wikidata.org/entity/Q93100,Filippo Cecchi,masculin,1822-01-01T00:00:00Z
http://www.wikidata.org/entity/Q93106,Helmut Schreyer,masculin,1912-07-04T00:00:00Z
http://www.wikidata.org/entity/Q93182,Louis Braille,masculin,1809-01-04T00:00:00Z
http://www.wikidata.org/entity/Q93664,Robert Adler,masculin,1913-12-04T00:00:00Z
http://www.wikidata.org/entity/Q93705,Daniel Swarovski,masculin,1862-10-24T00:00:00Z
http://www.wikidata.org/entity/Q93788,Max Fleischer,masculin,1883-07-19T00:00:00Z
